"","Stream_name","Gap_number","Gap_location","Date","Ash","Aspen","Basswood","Beech","Birch","Black Cherry","Black Walnut","Box Elder","Buckthorn","Dogwood","Elm","European Alder","Grass","Hawthorn","Maple","Oak","Pine Needles","Poplar","Unknown","Water bug","Willow","Woody Debris"
"1","Augusta Creek","I","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2","Augusta Creek","I","Downstream","2/4/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600502512562814,0,0,0,0.399497487437186,0,0,0
"3","Augusta Creek","I","Downstream","8/30/16",0,0,0.221105527638191,0,0,0.0703517587939699,0,0,0,0,0,0,0,0,0.115577889447236,0.42713567839196,0,0,0.165829145728643,0,0,0
"4","Augusta Creek","I","Gap","11/12/16",0,0,0,0,0,0.0204081632653061,0,0,0.0408163265306122,0,0.10969387755102,0,0,0,0,0.0459183673469388,0,0.321428571428571,0.461734693877551,0,0,0
"5","Augusta Creek","I","Gap","2/4/17",0,0,0,0,0,0,0,0,0.00147492625368732,0,0,0,0,0,0,0.610619469026549,0,0,0.370206489675516,0,0,0.0176991150442478
"6","Augusta Creek","I","Gap","8/30/16",0,0,0,0,0,0,0,0,0,0,0,0.802631578947368,0,0,0,0,0,0,0.184210526315789,0,0.0131578947368421,0
"7","Augusta Creek","I","Upstream","11/12/16",0,0,0.0576036866359447,0,0,0,0,0,0,0,0,0,0,0,0.0956221198156682,0.0472350230414747,0,0.168202764976959,0.631336405529954,0,0,0
"8","Augusta Creek","I","Upstream","2/4/17",0,0.0187353629976581,0.245901639344262,0,0.0281030444964871,0,0,0,0,0,0.161592505854801,0,0,0,0,0.400468384074942,0,0,0.14519906323185,0,0,0
"9","Augusta Creek","I","Upstream","8/30/16",0,0,0.458139534883721,0,0,0.0395348837209302,0,0,0,0,0.0186046511627907,0,0,0,0.0906976744186047,0.0581395348837209,0,0,0.334883720930233,0,0,0
"10","Augusta Creek","II","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0.144067796610169,0,0,0,0.0677966101694915,0.511299435028249,0,0,0.27683615819209,0,0,0
"11","Augusta Creek","II","Downstream","2/4/17",0,0,0.382445141065831,0,0.297805642633229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31974921630094,0,0,0
"12","Augusta Creek","II","Downstream","8/30/16",0.0873239436619718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763380281690141,0.0225352112676056,0,0.126760563380282
"13","Augusta Creek","II","Gap","11/12/16",0,0,0,0,0,0,0,0,0.0135135135135135,0,0.125,0,0,0,0.118243243243243,0.452702702702703,0,0,0.290540540540541,0,0,0
"14","Augusta Creek","II","Gap","2/4/17",0.0331491712707182,0,0.160220994475138,0,0.116022099447514,0,0,0,0,0,0,0,0,0,0,0.259668508287293,0,0,0.430939226519337,0,0,0
"15","Augusta Creek","II","Gap","8/30/16",0,0,0,0,0,0.0457746478873239,0,0,0,0,0,0.887323943661972,0,0,0,0,0,0,0.0669014084507042,0,0,0
"16","Augusta Creek","II","Gap","9/25/15",0,0,0,0,0,0.130952380952381,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0.583333333333333,0,0,0
"17","Frayer Creek","I","Downstream","11/20/16",0,0.0193740685543964,0,0.0312965722801788,0,0,0.0312965722801788,0,0,0,0.0402384500745157,0,0,0,0.138599105812221,0.284649776453055,0,0,0.454545454545455,0,0,0
"18","Frayer Creek","I","Downstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0.0123839009287926,0,0,0.368421052631579,0,0,0.619195046439629,0,0,0
"19","Frayer Creek","I","Downstream","8/30/16",0,0,0.173160173160173,0,0.0432900432900433,0,0,0,0,0.0692640692640693,0.203463203463203,0,0,0,0,0,0,0,0.510822510822511,0,0,0
"20","Frayer Creek","I","Gap","11/20/16",0,0,0,0.0836047774158523,0,0,0,0,0,0,0,0,0,0,0,0.460369163952226,0,0,0.456026058631922,0,0,0
"21","Frayer Creek","I","Gap","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171858216970999,0,0,0.828141783029001,0,0,0
"22","Frayer Creek","I","Gap","8/30/16",0,0,0.398907103825137,0,0,0.0806010928961749,0,0,0,0,0.0259562841530055,0,0,0,0,0,0,0,0.494535519125683,0,0,0
"23","Frayer Creek","I","Upstream","11/20/16",0,0,0,0.0805243445692884,0,0,0.0299625468164794,0,0,0,0.0823970037453183,0,0,0,0.0299625468164794,0.769662921348315,0,0,0.00749063670411985,0,0,0
"24","Frayer Creek","I","Upstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691863264323544,0,0,0.231102551757342,0,0,0.0770341839191141
"25","Frayer Creek","I","Upstream","8/30/16",0,0,0,0.136094674556213,0.0828402366863905,0,0,0,0.0355029585798817,0,0.100591715976331,0,0,0,0.272189349112426,0.136094674556213,0,0,0.236686390532544,0,0,0
"26","Frayer Creek","II","Downstream","11/20/16",0,0,0,0.113839285714286,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0.792410714285714,0,0,0.0580357142857143,0,0,0
"27","Frayer Creek","II","Downstream","2/12/17",0,0.0988142292490119,0,0,0,0,0,0,0,0,0,0,0.294466403162055,0,0,0.409090909090909,0,0,0.197628458498024,0,0,0
"28","Frayer Creek","II","Downstream","8/30/16",0,0,0,0,0,0.101626016260163,0,0,0,0,0.0975609756097561,0.0975609756097561,0,0,0,0,0,0,0.426829268292683,0,0,0.276422764227642
"29","Frayer Creek","II","Gap","11/20/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30","Frayer Creek","II","Gap","8/30/16",0,0,0,0,0,0.131147540983607,0,0,0,0,0,0,0,0,0.515222482435597,0,0,0,0.353629976580796,0,0,0
"31","Frayer Creek","II","Upstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321693121693122,0,0,0.678306878306878,0,0,0
"32","Sessions Creek","I","Gap","1/15/17",0,0,0,0.0380904012188928,0.00609446419502285,0.00203148806500762,0,0,0,0,0.0756729304215338,0,0.00558659217877095,0,0.0573895378364652,0.624682579989843,0,0,0.190452006094464,0,0,0
"33","Sessions Creek","I","Gap","10/23/16",0,0,0.0974930362116992,0,0,0.0501392757660167,0,0,0,0,0,0,0,0,0.788300835654596,0,0,0,0.064066852367688,0,0,0
"34","Sessions Creek","I","Gap","9/3/16",0.253472222222222,0,0,0,0,0,0,0,0,0,0.701388888888889,0,0,0,0,0,0,0,0.0451388888888889,0,0,0
"35","Sessions Creek","I","Upstream","1/15/17",0,0,0,0,0,0,0,0,0,0,0.0340136054421769,0,0,0,0.129251700680272,0.683673469387755,0,0,0.153061224489796,0,0,0
"36","Sessions Creek","I","Upstream","10/23/16",0,0,0,0,0,0.089041095890411,0,0,0,0,0,0,0,0,0.598173515981735,0.296803652968037,0,0,0.0159817351598174,0,0,0
"37","Sessions Creek","I","Upstream","9/3/16",0,0,0,0,0,0.0975609756097561,0,0,0,0,0,0,0,0,0.829268292682927,0,0,0,0.0731707317073171,0,0,0
"38","Sessions Creek","II","Downstream","1/15/17",0,0,0,0,0,0,0,0,0,0,0.0847107438016529,0,0,0,0.0351239669421488,0.590909090909091,0,0,0.289256198347107,0,0,0
"39","Sessions Creek","II","Downstream","10/23/16",0,0,0.143157894736842,0,0,0.0652631578947368,0,0,0,0,0,0,0,0,0.606315789473684,0,0,0,0.185263157894737,0,0,0
"40","Sessions Creek","II","Downstream","9/3/16",0,0,0,0,0,0,0,0,0,0,0.14572864321608,0,0,0,0.562814070351759,0,0,0,0.291457286432161,0,0,0
"41","Sessions Creek","II","Gap","1/15/17",0,0,0,0.0160202360876897,0,0,0,0,0,0,0.0370994940978078,0,0,0,0,0.301011804384486,0,0,0.626475548060708,0,0,0.0193929173693086
"42","Sessions Creek","II","Gap","10/23/16",0.0226130653266332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726130653266332,0.248743718592965,0,0,0.00251256281407035,0,0,0
